company_name,industry,sector
iShares MSCI All Country Asia ex Japan Index Fund,Fund/ETF/Bond,Finance
Alcentra Capital Corp.,Fund/ETF/Bond,Finance
iShares MSCI ACWI Index Fund,Fund/ETF/Bond,Finance
iShares MSCI ACWI ex US Index Fund,Fund/ETF/Bond,Finance
BLDRS Asia 50 ADR Index Fund,Fund/ETF/Bond,Finance
BLDRS Developed Markets 100 ADR Index Fund,Fund/ETF/Bond,Finance
BLDRS Emerging Markets 50 ADR Index Fund,Fund/ETF/Bond,Finance
BLDRS Europe 100 ADR Index Fund,Fund/ETF/Bond,Finance
WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,Fund/ETF/Bond,Finance
WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,Fund/ETF/Bond,Finance
Apollo Investment Corporation,Investment Managers,Finance
"Alliance HealthCare Services, Inc.",Industrial Specialties,Health Care
First Trust RBA American Industrial Renaissance ETF,Fund/ETF/Bond,Finance
Ares Capital Corporation,Investment Managers,Finance
StoneCastle Financial Corp,Investment Managers,Finance
BioShares Biotechnology Clinical Trials Fund,Fund/ETF/Bond,Finance
BioShares Biotechnology Products Fund,Fund/ETF/Bond,Finance
ProShares Ultra Nasdaq Biotechnology,Fund/ETF/Bond,Finance
First Trust BICK Index Fund,Fund/ETF/Bond,Finance
ProShares UltraShort Nasdaq Biotechnology,Fund/ETF/Bond,Finance
BlackRock Kelso Capital Corporation,Investment Managers,Finance
Vanguard Total International Bond ETF,Fund/ETF/Bond,Finance
Chart Acquisition Corp.,Fund/ETF/Bond,Finance
First Trust NASDAQ Global Auto Index Fund,Fund/ETF/Bond,Finance
"CBOE Holdings, Inc.",Finance/Investors Services,Finance
Compass EMP U S EQ Income 100 Enhanced Volatility Weighted Fund,Fund/ETF/Bond,Finance
Compass EMP US 500 Volatility Weighted Index ETF,Fund/ETF/Bond,Finance
Compass EMP US 500 Enhanced Volatility Weighted Index ETF,Fund/ETF/Bond,Finance
Calamos Global Total Return Fund,Fund/ETF/Bond,Finance
Calamos Convertible Opportunities and Income Fund,Fund/ETF/Bond,Finance
Calamos Global Dynamic Income Fund,Fund/ETF/Bond,Finance
Calamos Convertible and High Income Fund,Fund/ETF/Bond,Finance
Compass EMP Developed 500 Enhanced Volatility Weighted Index ETF,Fund/ETF/Bond,Finance
iShares Commodities Select Strategy ETF,Fund/ETF/Bond,Finance
Capitala Finance Corp.,Investment Managers,Finance
Compass EMP U.S. Discovery 500 Enhanced Volatility Weighted Fund,Fund/ETF/Bond,Finance
Calamos Strategic Total Return Fund,Fund/ETF/Bond,Finance
"The Herzfeld Caribbean Basin Fund, Inc.",Fund/ETF/Bond,Finance
Recon Capital DAX Germany ETF,Fund/ETF/Bond,Finance
WisdomTree Emerging Markets Dividend Growth Fund,Fund/ETF/Bond,Finance
WisdomTree U.S. SmallCap Dividend Growth Fund,Fund/ETF/Bond,Finance
WisdomTree U.S. Dividend Growth Fund,Fund/ETF/Bond,Finance
"Digital River, Inc.",Investment Bankers/Brokers/Service,Finance
Arrow DWA Tactical ETF,Fund/ETF/Bond,Finance
WisdomTree Germany Hedged Equity Fund,Fund/ETF/Bond,Finance
WisdomTree Japan Hedged SmallCap Equity Fund,Fund/ETF/Bond,Finance
iShares MSCI Emerging Markets Asia Index Fund,Fund/ETF/Bond,Finance
WisdomTree Emerging Markets Corporate Bond Fund,Fund/ETF/Bond,Finance
WisdomTree Emerging Markets Consumer Growth Fund,Fund/ETF/Bond,Finance
iShares S&P Emerging Markets Infrastructure Index Fund,Fund/ETF/Bond,Finance
"Entropic Communications, Inc.",Semiconductors,Technology
iShares MSCI Europe Financials Sector Index Fund,Fund/ETF/Bond,Finance
First Trust Strategic Income ETF,Fund/ETF/Bond,Finance
Fidus Investment Corporation,Investment Bankers/Brokers/Service,Finance
First Trust Emerging Markets Local Currency Bond ETF,Fund/ETF/Bond,Finance
First Trust Eurozone AlphaDEX ETF,Fund/ETF/Bond,Finance
First Trust Managed Municipal ETF,Fund/ETF/Bond,Finance
First Trust International IPO ETF,Fund/ETF/Bond,Finance
First Bank,Banks,Finance
First Trust Capital Strength ETF,Fund/ETF/Bond,Finance
First Trust Global Tactical Commodity Strategy Fund,Fund/ETF/Bond,Finance
First Trust High Income ETF,Fund/ETF/Bond,Finance
First Trust Low Beta Income ETF,Fund/ETF/Bond,Finance
First Trust Senior Loan Fund ETF,Fund/ETF/Bond,Finance
First Trust Enhanced Short Maturity ETF,Fund/ETF/Bond,Finance
First Trust Dorsey Wright Focus 5 ETF,Fund/ETF/Bond,Finance
Gladstone Investment Corporation,Investment Managers,Finance
Garrison Capital Inc.,Investment Managers,Finance
"Golub Capital BDC, Inc.",Investment Managers,Finance
"Gordmans Stores, Inc.",Fund/ETF/Bond,Finance
iShares Core GNMA Bond ETF,Fund/ETF/Bond,Finance
Gladstone Commercial Corporation,Real Estate,Consumer Services
First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,Fund/ETF/Bond,Finance
WisdomTree Middle East Dividend Fund,Fund/ETF/Bond,Finance
Harvest Capital Credit Corporation,Investment Managers,Finance
"H&E Equipment Services, Inc.",Industrial Machinery/Components,Capital Goods
Hingham Institution for Savings,Banks,Finance
Horizon Technology Finance Corporation,Investment Managers,Finance
First Trust High Yield Long/Short ETF,Fund/ETF/Bond,Finance
WisdomTree BofA Merrill Lynch High Yield Bond Negative Duration Fund,Fund/ETF/Bond,Finance
